window,subset,horizon,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,mape_mean,epochs_mean,n_folds
1h,comparable,15min,8.866567907475233,0.27608546460537225,6.325588130950928,0.2789392580646566,0.8437095165252686,5.582464790344238,34.8,5
1h,comparable,30min,16.19433806937025,0.7780747527264115,11.618139457702636,0.6028201291816502,0.48099366426467893,10.263291168212891,23.2,5
1h,comparable,45min,19.016067759786758,1.0312652177638226,13.601281547546387,0.31660329710100926,0.29394562244415284,11.987147903442382,19.4,5
1h,full,15min,9.488530257137015,0.8090915340671515,6.714780807495117,0.5765797048283614,0.816048002243042,5.932540798187256,35.4,5
1h,full,30min,16.993659995602258,1.1750617128492706,12.19176788330078,0.594121572370471,0.42664533853530884,10.858334350585938,24.8,5
1h,full,45min,19.070474715031054,0.8336450039903321,13.83028564453125,0.6283259707359272,0.28654577732086184,12.2852144241333,17.6,5
