window,subset,horizon,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,mape_mean,epochs_mean,n_folds
1h,comparable,15min,8.617991539496613,1.1194155586260142,6.162420845031738,0.8957391609083664,0.8451444387435914,5.458276653289795,111.6,5
1h,comparable,30min,16.963654260761693,1.2992574080302473,12.410631942749024,1.3236870899155189,0.4175665259361267,11.011456489562988,86.4,5
1h,comparable,45min,21.493213281761818,1.8170481434668313,15.99537010192871,1.767513751794528,0.06056700944900513,14.206536102294923,58.0,5
1h,full,15min,11.85114483990738,6.246549928340678,8.638679313659669,5.215777914369809,0.6006980538368225,7.521497821807861,77.0,5
1h,full,30min,19.722999394370543,2.6837598240577063,14.421340179443359,2.283845044512597,0.184266197681427,12.759955978393554,41.6,5
1h,full,45min,24.635584204463814,2.3420394634274295,18.45223731994629,2.365384325602443,-0.23782474994659425,16.179836082458497,28.2,5
