user,model,rmse,mae,zone_a_pct,epochs
User1,RF,18.15024210877235,12.004215262817317,87.84029038112523,
User1,LSTM,17.204927444458008,11.357328414916992,88.56624319419238,72.0
User1,Autoencoder,17.12429428100586,11.184097290039062,88.38475499092559,100.0
User1,TCN,19.933109283447266,13.380695343017578,83.30308529945553,21.0
User1,Transformer,18.839040756225586,12.235206604003906,84.75499092558984,65.0
User3,RF,15.384709391969139,11.524478739290176,83.91866913123845,
User3,LSTM,14.538463592529297,10.934554100036621,87.61552680221811,28.0
User3,Autoencoder,14.288071632385254,10.601009368896484,88.53974121996303,53.0
User3,TCN,15.593297004699707,12.12622356414795,78.18853974121997,50.0
User3,Transformer,14.25788688659668,10.484514236450195,88.17005545286507,40.0
User4,RF,13.755939670868369,10.028947602024722,83.0909090909091,
User4,LSTM,13.063115119934082,9.280289649963379,86.36363636363636,57.0
User4,Autoencoder,12.982401847839355,9.159799575805664,86.9090909090909,60.0
User4,TCN,13.495180130004883,10.267695426940918,84.0,62.0
User4,Transformer,13.188267707824707,8.912449836730957,86.9090909090909,42.0
User5,RF,11.384294027748618,8.422371484132979,96.3768115942029,
User5,LSTM,11.236088752746582,8.092569351196289,94.92753623188406,68.0
User5,Autoencoder,11.626754760742188,8.46151065826416,95.89371980676329,87.0
User5,TCN,16.171092987060547,12.645981788635254,84.54106280193237,27.0
User5,Transformer,10.557090759277344,7.416757106781006,95.41062801932367,24.0
User6,RF,13.96410860471901,10.134459069865395,88.28828828828829,
User6,LSTM,12.5841064453125,8.832205772399902,90.8108108108108,58.0
User6,Autoencoder,12.023199081420898,8.267007827758789,91.35135135135135,56.0
User6,TCN,14.268745422363281,10.509873390197754,88.64864864864865,36.0
User6,Transformer,12.010114669799805,8.426209449768066,92.43243243243244,39.0
User7,RF,16.82047690096683,10.14607211421162,90.09009009009009,
User7,LSTM,15.489887237548828,9.199143409729004,91.53153153153153,67.0
User7,Autoencoder,15.774041175842285,8.97026538848877,91.53153153153153,60.0
User7,TCN,19.493885040283203,12.173718452453613,85.76576576576576,58.0
User7,Transformer,15.43061351776123,9.148931503295898,92.07207207207207,50.0
User8,RF,17.314393477435626,12.529598312322127,86.84684684684684,
User8,LSTM,15.015111923217773,10.586669921875,92.43243243243244,56.0
User8,Autoencoder,15.08786392211914,10.610396385192871,91.53153153153153,56.0
User8,TCN,14.782238006591797,10.642132759094238,91.35135135135135,38.0
User8,Transformer,15.163311958312988,10.924750328063965,90.09009009009009,39.0
User9,RF,17.09037171556667,12.021241088797463,83.02583025830258,
User9,LSTM,15.746615409851074,11.164848327636719,87.45387453874538,35.0
User9,Autoencoder,15.633129119873047,11.268637657165527,87.82287822878229,38.0
User9,TCN,15.85786247253418,11.5269136428833,88.00738007380073,76.0
User9,Transformer,15.82413101196289,11.356083869934082,87.63837638376384,32.0
User10,RF,13.448991002051928,9.116780791604999,91.89189189189189,
User10,LSTM,13.170909881591797,9.147205352783203,92.7927927927928,46.0
User10,Autoencoder,13.544008255004883,9.24380874633789,90.990990990991,80.0
User10,TCN,14.639631271362305,10.977840423583984,88.28828828828829,35.0
User10,Transformer,13.317492485046387,9.983585357666016,90.09009009009009,44.0
User12,RF,12.415363742787921,9.295060981862877,91.53153153153153,
User12,LSTM,11.98195743560791,8.84459114074707,92.61261261261261,54.0
User12,Autoencoder,12.031426429748535,8.880048751831055,92.25225225225225,69.0
User12,TCN,12.291651725769043,9.032784461975098,92.61261261261261,51.0
User12,Transformer,12.80487060546875,9.138728141784668,89.009009009009,47.0
User13,RF,18.69212791823412,11.135868595541398,87.72563176895306,
User13,LSTM,15.731483459472656,9.183751106262207,91.51624548736461,36.0
User13,Autoencoder,15.131667137145996,8.964797973632812,91.87725631768953,48.0
User13,TCN,17.08220672607422,10.056596755981445,90.25270758122744,59.0
User13,Transformer,16.595056533813477,9.982802391052246,90.97472924187726,52.0
User14,RF,14.47998075184124,10.290586439347319,94.23423423423424,
User14,LSTM,12.72257137298584,9.195694923400879,96.75675675675676,92.0
User14,Autoencoder,12.817400932312012,9.263439178466797,96.57657657657657,92.0
User14,TCN,18.131614685058594,13.68435287475586,86.66666666666667,14.0
User14,Transformer,13.240373611450195,9.499090194702148,96.03603603603604,29.0
User15,RF,15.081617120955107,11.731653154879321,86.33879781420765,
User15,LSTM,13.898141860961914,11.187150001525879,88.3424408014572,28.0
User15,Autoencoder,14.078155517578125,11.149274826049805,87.97814207650273,55.0
User15,TCN,15.019546508789062,12.046182632446289,86.52094717668488,84.0
User15,Transformer,11.949440002441406,8.947298049926758,93.26047358834244,29.0
