feat_set,n,A,B,C,D,E
glucose_only,7031,90.86900867586404,9.116768596216755,0.0,0.014222727919214905,0.0
glucose_hr,2930,88.12286689419795,11.877133105802049,0.0,0.0,0.0
glucose_activity,7031,91.05390413881382,8.931873133266961,0.0,0.014222727919214905,0.0
full_wearable,2930,87.9863481228669,11.979522184300341,0.0,0.034129692832764506,0.0
