feat_set,n,A,B,C,D,E
glucose_only,10742,88.51238130701918,11.273505864829641,0.1024017873766524,0.11171104077452988,0.0
clinical,10742,88.55892757400856,11.226959597840253,0.1024017873766524,0.1024017873766524,0.00930925339787749
full,1796,75.61247216035635,22.884187082405344,0.0,1.5033407572383073,0.0
glucose_hr,3027,85.16683184671292,14.271555996035678,0.42946812025107367,0.13214403700033037,0.0
glucose_steps,1883,85.60807222517259,14.073287307488052,0.2655337227827934,0.053106744556558685,0.0
clinical_hr,3027,85.92666005946482,13.676907829534192,0.23125206475057813,0.16518004625041294,0.0
clinical_steps,1883,86.82952734997345,12.8518321826872,0.2655337227827934,0.053106744556558685,0.0
wearable,1796,75.61247216035635,22.884187082405344,0.0,1.5033407572383073,0.0
