test_patient,cohort,rf_rmse,rf_mae,lstm_rmse,lstm_mae,rf_zoneA,lstm_zoneA
559,2018,26.72686707983449,17.672768520919192,26.437910079956055,17.23476219177246,83.0361844579854,84.00662002557738
563,2018,17.8739288606881,12.596796791711402,17.244909286499023,12.147547721862793,90.27730462628602,91.16304421884581
570,2018,18.943231016581358,13.166991976575455,18.43670082092285,12.908180236816406,93.05616338439096,93.69073668854851
575,2018,24.269970411003747,16.146002480373937,23.295589447021484,15.612092971801758,80.80892028533832,82.29794307084978
588,2018,22.193261414982732,15.499974180578374,21.389188766479492,14.965051651000977,87.16102244712599,88.13416374724277
591,2018,25.602288400213244,17.400989261498065,24.83000373840332,16.890230178833008,81.34657836644591,81.7512877115526
540,2020,23.332941781525403,16.896384583705537,22.222339630126953,16.031023025512695,78.23946037099495,80.4451939291737
544,2020,19.78064130059346,14.184394404855333,19.425888061523438,13.710247993469238,90.03903317820148,90.8947605464645
552,2020,20.941574300491464,14.742144528297123,20.317256927490234,14.24732494354248,84.59788220880371,85.92806510895248
567,2020,25.89546084231035,17.47383981010396,25.325698852539062,16.83293342590332,81.97278911564626,83.45427059712775
584,2020,28.771556677659436,18.99168297468939,28.47455596923828,18.968618392944336,87.08609271523179,87.82267874037032
596,2020,19.377077560980336,13.003351901005539,21.07952117919922,15.680943489074707,88.34815849444975,79.72506064838639
